hostingPlatform,gameVersion,sessionId,eventType,subversion,sceneName,description,index,timestamp,elapsedTime,gameState_helpedToday,gameState_totalFlagged,gameState_correctToday,gameState_flaggedToday,gameState_totalReported,gameState_totalHelped,gameState_reportedToday,gameState_totalCorrect
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,item_clicked,A,Scene1_Day1_V2,5_SStudentID (I),0,2026-02-25 03:41:18.329000+00:00,0,1,0,8,0,0,1,0,8
itch,0.1,8e3630c6-8f02-4642-bcc5-a97dde5f9414,item_clicked,A,Scene2_Day1_V2,EndDayEmailNotification (I),0,2026-02-24 01:07:21.812000+00:00,0,2,2,9,2,1,2,1,9
itch,0.1,0e83a06e-2c8e-4ad2-a676-237f0224de87,scene_entered,A,Scene0_Title,,0,2026-02-24 04:06:17.441000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,2c6da7fd-cac4-4343-b1d6-1c629f174b61,controls_page_entered,A,Scene0_Title,,0,2026-02-25 06:54:48.302000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,d3f88450-e4e0-4fc5-9c1a-e7069ca212af,item_clicked,A,Scene1_Day1_V2,3_SReviewFolder (I),0,2026-02-25 07:34:42.933000+00:00,0,0,1,7,1,0,0,0,7
itch,0.1,8e3630c6-8f02-4642-bcc5-a97dde5f9414,item_clicked,A,Scene1_Day1_V2,3_SMaterials (I),0,2026-02-24 00:58:11.496000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,fd275b94-0e7b-452a-8261-e5271574a7c2,question_answered_incorrectly,A,Scene2_Day1_V2,,0,2026-02-24 09:40:09.818000+00:00,97.92181396484375,0,0,5,0,0,0,0,5
itch,0.1,afd5cf0a-0ca6-418f-90ee-c0205cf96945,scene_entered,A,Scene0_Title,,0,2026-02-24 06:36:28.993000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,scroll_clicked,A,Scene2_Day1_V2,Email_P2 (I),0,2026-02-23 20:55:45.894000+00:00,0,0,0,5,0,0,0,0,5
itch,0.1,0c2c7595-a3fd-4ba1-878b-b824c8356466,item_clicked,A,Scene2_Day1_V2,EmailNotification (I),0,2026-02-23 04:36:09.525000+00:00,0,0,0,5,0,0,0,0,5
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,item_clicked,A,Scene1_Day1_V2,3_SStudentID (I),0,2026-02-25 03:30:36.248000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,282aae4c-530b-44a1-b823-d600a4a793b0,admission_decision_incorrect,A,Scene1_Day1_V2,Admitted student Student5 (I),0,2026-02-24 06:58:16.373000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,84ba2ed0-e6ea-47a6-90cf-6f0bc87a47d3,scene_entered,A,Scene0_Title,,0,2026-02-24 04:22:04.036000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,282aae4c-530b-44a1-b823-d600a4a793b0,item_clicked,A,Scene1_Day1_V2,5_SReviewFolder (I),0,2026-02-24 06:58:12.292000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,6a5d288a-0e0b-47e9-8e37-7696dc6cbc65,eval_signed,A,Scene3_Day1_V2,,0,2026-02-25 07:28:06.925000+00:00,0,1,1,5,1,1,1,1,5
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,admission_decision_correct,A,Scene1_Day1_V2,Denied student Student5 (I),0,2026-02-25 03:33:09.151000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,bddfeebe-f6c8-4836-a7ca-edecf330bae0,question_clicked,A,Scene2_Day1_V2,,0,2026-02-22 23:52:32.857000+00:00,46.327293395996094,0,0,5,0,0,0,0,5
itch,0.1,6a5d288a-0e0b-47e9-8e37-7696dc6cbc65,item_clicked,A,Scene1_Day1_V2,2_SStudentID (I),0,2026-02-25 07:21:44.580000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,,session_start,,Scene0_Title,,0,2026-02-25 05:53:23.122000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,2c6da7fd-cac4-4343-b1d6-1c629f174b61,scene_entered,A,Scene1_Day1_V2,,0,2026-02-25 06:55:09.437000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,item_clicked,A,Scene1_Day1_V2,1_SExamGuide (I),0,2026-02-24 00:44:04.056000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,97e991da-88c7-472f-a1cd-d15afdfb97c2,scene_entered,A,Scene1_Day1_V2,,0,2026-02-24 06:31:22.313000+00:00,0,1,1,4,1,0,1,0,4
itch,0.1,1e3830ff-b9cd-47fb-94e5-35a928218d40,item_clicked,A,Scene1_Day1_V2,2_SMaterials (I),0,2026-02-23 00:06:50.604000+00:00,0,1,2,5,2,0,1,0,5
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,item_clicked,A,Scene1_Day1_V2,5_SStudentID (I),0,2026-02-24 00:46:13.176000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,item_clicked,A,Scene1_Day1_V2,1_SReviewFolder (I),0,2026-02-23 20:49:07.533000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student2 (I),0,2026-02-24 00:44:50.445000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,1e3830ff-b9cd-47fb-94e5-35a928218d40,item_clicked,A,Scene1_Day1_V2,5_SExamGuide (I),0,2026-02-23 00:00:59.605000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,97e991da-88c7-472f-a1cd-d15afdfb97c2,orientation_skipped,A,Scene1_Day1_V2,,1,2026-02-24 06:31:37.415000+00:00,0,1,1,4,1,0,1,0,4
itch,0.1,afd5cf0a-0ca6-418f-90ee-c0205cf96945,item_clicked,A,Scene1_Day1_V2,1_SExamGuide (I),0,2026-02-24 06:44:00.651000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,,session_start,,Scene0_Title,,0,2026-02-24 06:34:55.694000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,816bdc07-4f07-4027-88bb-f2993b8a5981,item_clicked,A,Scene1_Day1_V2,1_SReviewFolder (I),0,2026-02-24 06:59:57.035000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,afd5cf0a-0ca6-418f-90ee-c0205cf96945,item_clicked,A,Scene1_Day1_V2,2_SExamGuide (I),0,2026-02-24 06:44:43.604000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,,session_start,,Scene0_Title,,0,2026-02-24 04:25:42.867000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,e0787074-6cc5-44bf-8d0a-4d20fe67a5ef,question_clicked,A,Scene2_Day1_V2,,0,2026-02-24 07:04:22.115000+00:00,46.568382263183594,0,1,5,1,0,0,0,5
itch,0.1,1e3830ff-b9cd-47fb-94e5-35a928218d40,scene_entered,A,Scene0_Title,,0,2026-02-23 00:05:34.655000+00:00,0,1,2,4,2,0,1,0,4
itch,0.1,afd5cf0a-0ca6-418f-90ee-c0205cf96945,item_clicked,A,Scene1_Day1_V2,2_SReviewFolder (I),0,2026-02-24 06:45:03.676000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,item_clicked,A,Scene1_Day1_V2,4_SExamGuide (I),0,2026-02-24 00:46:02.020000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,6a5d288a-0e0b-47e9-8e37-7696dc6cbc65,item_clicked,A,Scene1_Day1_V2,4_SStudentID (I),0,2026-02-25 07:23:43.932000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,6a5d288a-0e0b-47e9-8e37-7696dc6cbc65,admission_decision_correct,A,Scene1_Day1_V2,Denied student Student5 (I),0,2026-02-25 07:24:34.433000+00:00,0,0,0,5,0,0,0,0,5
itch,0.1,a7e25c67-841c-43e8-97ef-c6031744b236,item_clicked,A,Scene1_Day1_V2,4_SReviewFolder (I),0,2026-02-22 21:04:11.636000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,a7e25c67-841c-43e8-97ef-c6031744b236,item_clicked,A,Scene1_Day1_V2,3_SMaterials (I),0,2026-02-22 21:03:55.973000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,b0fef513-8750-49dc-a762-f8a966f8ae6b,question_answered_incorrectly,A,Scene2_Day1_V2,,0,2026-02-23 02:28:22.177000+00:00,62.20594024658203,0,0,4,0,0,0,0,4
itch,0.1,,session_start,,Scene0_Title,,0,2026-02-24 16:19:55.564000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,6a5d288a-0e0b-47e9-8e37-7696dc6cbc65,question_clicked,A,Scene2_Day1_V2,,0,2026-02-25 07:26:09.286000+00:00,46.644954681396484,0,0,5,0,0,0,0,5
itch,0.1,488fc3b2-86a1-4f11-bef2-9210f90b6d54,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student1 (I),0,2026-02-23 00:09:09.963000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,8e3630c6-8f02-4642-bcc5-a97dde5f9414,item_clicked,A,Scene1_Day1_V2,3_SReviewFolder (I),0,2026-02-24 00:58:26.557000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,item_clicked,A,Scene1_Day1_V2,4_SExamTicket (I),0,2026-02-23 20:52:28.333000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,item_clicked,A,Scene1_Day1_V2,5_SExamGuide (I),0,2026-02-25 03:41:22.831000+00:00,0,1,0,8,0,0,1,0,8
itch,0.1,90d404ad-2c4e-475e-8c2d-452534207a28,item_clicked,A,Scene1_Day1_V2,4_SStudentID (I),0,2026-02-24 00:04:25.360000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,item_clicked,A,Scene2_Day1_V2,EndDayEmailNotification (I),0,2026-02-23 20:57:52.898000+00:00,0,1,0,5,0,0,1,0,5
itch,0.1,e0787074-6cc5-44bf-8d0a-4d20fe67a5ef,supervisor_talk_clicked,A,Scene3_Day1_V2,,0,2026-02-24 07:06:21.336000+00:00,0,1,2,5,2,1,1,1,5
itch,0.1,a7e25c67-841c-43e8-97ef-c6031744b236,item_clicked,A,Scene1_Day1_V2,1_SExamGuide (I),0,2026-02-22 21:03:18.796000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,282aae4c-530b-44a1-b823-d600a4a793b0,item_clicked,A,Scene1_Day1_V2,2_SMaterials (I),0,2026-02-24 06:54:21.662000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,question_clicked,A,Scene2_Day1_V2,,0,2026-02-24 00:55:00.588000+00:00,46.59818649291992,1,1,10,1,0,1,0,10
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student2 (I),0,2026-02-23 20:51:36.829000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,d3f88450-e4e0-4fc5-9c1a-e7069ca212af,item_clicked,A,Scene1_Day1_V2,1_SReviewFolder (I),0,2026-02-25 07:33:25.666000+00:00,0,0,1,5,1,0,0,0,5
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,item_clicked,A,Scene1_Day1_V2,3_SReviewFolder (I),0,2026-02-23 20:52:17.187000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,816bdc07-4f07-4027-88bb-f2993b8a5981,item_clicked,A,Scene1_Day1_V2,1_SExamTicket (I),0,2026-02-24 06:59:55.307000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,00e1c48f-fff8-49ed-b75b-2f6f76fec6a1,item_clicked,A,Scene1_Day1_V2,3_SStudentID (I),0,2026-02-23 04:37:35.593000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,97e991da-88c7-472f-a1cd-d15afdfb97c2,item_clicked,A,Scene1_Day1_V2,1_SMaterials (I),0,2026-02-24 06:22:29.415000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,8e3630c6-8f02-4642-bcc5-a97dde5f9414,supervisor_talk_clicked,A,Scene3_Day1_V2,,0,2026-02-24 01:03:02.181000+00:00,0,1,0,5,0,0,1,0,5
itch,0.1,41eb15e3-b7eb-4747-85a4-b199d8db6f6f,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student2 (I),0,2026-02-24 07:56:49.342000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,fd275b94-0e7b-452a-8261-e5271574a7c2,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student2 (I),0,2026-02-24 09:35:01.736000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,fec58fe1-1884-486d-ae80-5b69f3c0dc33,item_clicked,A,Scene1_Day1_V2,2_SExamGuide (I),0,2026-02-23 17:05:35.736000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student3 (I),0,2026-02-23 20:52:22.321000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,question_answered_correctly,A,Scene2_Day1_V2,,0,2026-02-25 03:43:54.849000+00:00,60.56616973876953,2,0,9,0,0,2,0,9
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,item_clicked,A,Scene1_Day1_V2,3_SExamTicket (I),0,2026-02-24 00:45:02.647000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,scene_entered,A,Scene0_Title,,0,2026-02-24 00:38:49.660000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,supervisor_talk_clicked,A,Scene3_Day1_V2,,0,2026-02-25 03:36:38.214000+00:00,0,1,0,4,0,0,1,0,4
itch,0.1,1e3830ff-b9cd-47fb-94e5-35a928218d40,scene_entered,A,Scene3_Day1_V2,,0,2026-02-23 00:04:32.211000+00:00,0,1,2,4,2,0,1,0,4
itch,0.1,f4705d45-e1e9-4cbc-8490-58c59554e625,item_clicked,A,Scene1_Day1_V2,1_SStudentID (I),0,2026-02-23 05:19:03.790000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,,session_start,,Scene0_Title,,0,2026-02-24 04:43:39.673000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,0c2c7595-a3fd-4ba1-878b-b824c8356466,admission_decision_correct,A,Scene1_Day1_V2,Denied student Student5 (I),0,2026-02-23 04:35:31.676000+00:00,0,0,0,5,0,0,0,0,5
itch,0.1,fd275b94-0e7b-452a-8261-e5271574a7c2,item_clicked,A,Scene1_Day1_V2,2_SExamTicket (I),0,2026-02-24 09:34:11.889000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,b5e7b222-514b-4a74-ac68-87926310c064,credits_page_entered,A,Scene0_Title,,0,2026-02-23 19:14:26.128000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,bddfeebe-f6c8-4836-a7ca-edecf330bae0,item_clicked,A,Scene1_Day1_V2,1_SExamTicket (I),0,2026-02-22 23:47:19.078000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,scroll_clicked,A,Scene2_Day1_V2,Email_P3 (I),0,2026-02-24 00:47:50.027000+00:00,0,0,0,5,0,0,0,0,5
itch,0.1,1e3830ff-b9cd-47fb-94e5-35a928218d40,item_clicked,A,Scene1_Day1_V2,5_IncorrectIcon (I),0,2026-02-23 00:08:29.893000+00:00,0,1,2,7,2,0,1,0,7
itch,0.1,6a5d288a-0e0b-47e9-8e37-7696dc6cbc65,item_clicked,A,Scene1_Day1_V2,1_SExamGuide (I),0,2026-02-25 07:19:50.184000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,6a5d288a-0e0b-47e9-8e37-7696dc6cbc65,item_clicked,A,Scene1_Day1_V2,5_SExamGuide (I),0,2026-02-25 07:24:08.177000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,b99c4a11-3a13-42cf-b009-acf2191855da,scene_entered,A,Scene3_Day1_V2,,0,2026-02-24 06:54:22.638000+00:00,0,1,0,4,0,0,1,0,4
itch,0.1,8e3630c6-8f02-4642-bcc5-a97dde5f9414,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student1 (I),0,2026-02-24 01:04:11.819000+00:00,0,1,0,6,0,0,1,0,6
itch,0.1,8e3630c6-8f02-4642-bcc5-a97dde5f9414,item_clicked,A,Scene1_Day1_V2,5_SStudentID (I),0,2026-02-24 00:59:01.323000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,ff3b9ace-61f4-4f3f-abfc-7cb83aa68476,scene_entered,A,Scene0_Title,,0,2026-02-24 06:35:12.643000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,,session_start,,Scene0_Title,,0,2026-02-24 06:32:06.725000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,bddfeebe-f6c8-4836-a7ca-edecf330bae0,item_clicked,A,Scene1_Day1_V2,2_SMaterials (I),0,2026-02-22 23:48:20.888000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,,session_start,,Scene0_Title,,0,2026-02-24 06:40:22.163000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,item_clicked,A,Scene1_Day1_V2,3_SStudentID (I),0,2026-02-24 00:44:53.972000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,816bdc07-4f07-4027-88bb-f2993b8a5981,item_clicked,A,Scene1_Day1_V2,5_SReviewFolder (I),0,2026-02-24 07:00:27.640000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,,session_start,,Scene0_Title,,0,2026-02-25 05:05:26.700000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,1e3830ff-b9cd-47fb-94e5-35a928218d40,investigation_initiated,A,Scene2_Day1_V2,,0,2026-02-23 00:03:56.217000+00:00,83.2298812866211,1,2,4,2,0,1,0,4
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,supervisor_talk_clicked,A,Scene3_Day1_V2,,0,2026-02-24 01:00:38.102000+00:00,0,3,3,15,3,2,3,2,15
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,item_clicked,A,Scene1_Day1_V2,4_SMaterials (I),0,2026-02-25 03:31:17.301000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,282aae4c-530b-44a1-b823-d600a4a793b0,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student1 (I),0,2026-02-24 06:54:16.801000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,scene_entered,A,Scene0_Title,,0,2026-02-23 20:40:02.656000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,00e1c48f-fff8-49ed-b75b-2f6f76fec6a1,supervisor_talk_clicked,A,Scene3_Day1_V2,,0,2026-02-23 04:42:33.375000+00:00,0,1,0,4,0,0,1,0,4
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,item_clicked,A,Scene1_Day1_V2,2_SExamTicket (I),0,2026-02-23 20:51:00.913000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,00e1c48f-fff8-49ed-b75b-2f6f76fec6a1,credits_page_entered,A,Scene0_Title,,0,2026-02-23 04:44:17.218000+00:00,0,1,0,4,0,0,1,0,4
itch,0.1,73dc0ca7-fa4c-4186-8fb6-59ba3e4605cd,scene_entered,A,Scene1_Day1_V2,,0,2026-02-24 04:26:10.432000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,afd5cf0a-0ca6-418f-90ee-c0205cf96945,scroll_clicked,A,Scene2_Day1_V2,Email_P2 (I),0,2026-02-24 06:48:01.227000+00:00,0,0,0,5,0,0,0,0,5
itch,0.1,6a5d288a-0e0b-47e9-8e37-7696dc6cbc65,bad_behavior_clicked,A,Scene2_Day1_V2,,0,2026-02-25 07:26:44.004000+00:00,81.36239624023438,1,0,5,0,0,1,0,5
itch,0.1,41eb15e3-b7eb-4747-85a4-b199d8db6f6f,item_clicked,A,Scene1_Day1_V2,1_SExamTicket (I),0,2026-02-24 07:54:55.431000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,9be880cc-2584-4bdd-947e-085702a89292,item_clicked,A,Scene1_Day1_V2,1_SExamGuide (I),0,2026-02-24 00:46:53.939000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,4df36f47-6c7d-418a-9969-e42a4942685b,scene_entered,A,Scene1_Day1_V2,,0,2026-02-24 04:08:30.508000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,d6eceb13-8c6d-4f70-b716-427b5ac94473,scene_entered,A,Scene0_Title,,0,2026-02-24 07:42:21.236000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,1e3830ff-b9cd-47fb-94e5-35a928218d40,item_clicked,A,Scene1_Day1_V2,1_SMaterials (I),0,2026-02-23 00:06:40.846000+00:00,0,1,2,4,2,0,1,0,4
itch,0.1,036567a8-44da-4fe1-9010-fbb54574dcf8,credits_page_entered,A,Scene0_Title,,0,2026-02-24 06:36:35.283000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,aae92921-2aea-4130-aaca-ad098525dffe,supervisor_talk_clicked,A,Scene3_Day1_V2,,0,2026-02-23 05:33:38.879000+00:00,0,1,0,4,0,0,1,0,4
itch,0.1,fd275b94-0e7b-452a-8261-e5271574a7c2,question_answered_incorrectly,A,Scene2_Day1_V2,,0,2026-02-24 09:40:08.741000+00:00,96.84430694580078,0,0,5,0,0,0,0,5
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,item_clicked,A,Scene1_Day1_V2,5_SExamTicket (I),0,2026-02-24 00:46:29.955000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,0c2c7595-a3fd-4ba1-878b-b824c8356466,item_clicked,A,Scene1_Day1_V2,4_SStudentID (I),0,2026-02-23 04:34:24.048000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,a7e25c67-841c-43e8-97ef-c6031744b236,scene_entered,A,Scene0_Title,,0,2026-02-22 21:12:56.175000+00:00,0,1,1,4,1,0,1,0,4
itch,0.1,1e3830ff-b9cd-47fb-94e5-35a928218d40,item_clicked,A,Scene1_Day1_V2,4_SStudentID (I),0,2026-02-23 00:07:44.571000+00:00,0,1,2,7,2,0,1,0,7
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,item_clicked,A,Scene1_Day1_V2,5_SExamTicket (I),0,2026-02-25 03:41:17.344000+00:00,0,1,0,8,0,0,1,0,8
itch,0.1,aae92921-2aea-4130-aaca-ad098525dffe,item_clicked,A,Scene1_Day1_V2,1_SReviewFolder (I),0,2026-02-23 05:16:37.106000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,24667c94-4dd0-43f6-8144-db3eae2f730b,report_correct,A,Scene2_Day1_V2,Row2Student2 (A),0,2026-02-25 03:44:28.029000+00:00,93.74716186523438,2,1,9,1,0,2,0,9
itch,0.1,65f48454-beb5-42fd-82d9-1650d50b045c,scene_entered,A,Scene0_Title,,0,2026-02-24 04:25:35.967000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,item_clicked,A,Scene1_Day1_V2,3_SExamTicket (I),0,2026-02-24 00:45:25.195000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,d3f88450-e4e0-4fc5-9c1a-e7069ca212af,item_clicked,A,Scene1_Day1_V2,4_SExamTicket (I),0,2026-02-25 07:27:37.135000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,f4705d45-e1e9-4cbc-8490-58c59554e625,item_clicked,A,Scene1_Day1_V2,3_SExamTicket (I),0,2026-02-23 05:22:41.408000+00:00,0,0,0,2,0,0,0,0,2
